oid,name,id
"",DG1-6,bfc0db8dbee83e20075e0fa384e0b02c
"",filename,185465b0fca8688e352b01984e7c5487
"",IN1-17,6907b246e120c559129430a857ecdf01
"",PID-10,bb3756f8206e2403bb344913dd5c5d3f
"",PID-22,3c242fc49d130eb985bc27f3f3e98d92
"",PID-30,f0273320c4bbfe33f73f3b3d306e2bf0
"",PID-8,9f5c2c57c1f0812885b105f042037ed2
"",PV1-10,2647c8c5aa421cb8ceb94d69abd98ff0
"",PV1-14,c6191f7214c02f1fde593e8cd164215f
"",PV1-18,2a9c309116f95bc548aeb5bda6034fde
"",PV1-2,5685ebd960c3b9264f403dc9988a0a1f
"",PV1-36,5f0fbe722bf9d2cf9f88609bf0ee74f9
"",PV1-4,89325b3d43165175a5807bec867181c5
1.3.6.1.4.1.32898.1.4,DG1-6,40b4547dda6b5dd83a671573b5865dea
1.3.6.1.4.1.32898.1.4,IN1,c58a44c8be8ee4a1e1b320ff572fd391
1.3.6.1.4.1.32898.1.4,IN1-17,3c598df962ebadd11be6a45d6a9b63cd
1.3.6.1.4.1.32898.1.4,PID-10,f5d306771ee5327321a1e580ab27ce39
1.3.6.1.4.1.32898.1.4,PID-22,cfe1bbe51cd4e94ecd8a4d29406312d1
1.3.6.1.4.1.32898.1.4,PID-30,f0273320c4bbfe33f73f3b3d306e2bf0
1.3.6.1.4.1.32898.1.4,PID-8,7a3f3afe3a8b2bcffe524712ebb912e9
1.3.6.1.4.1.32898.1.4,PV1-10,7b52c698f9b33708fb667fc714d2285a
1.3.6.1.4.1.32898.1.4,PV1-14,fa6d312796d362859bf9270cfe7804a8
1.3.6.1.4.1.32898.1.4,PV1-18,f70f20e384f2e213c22e2ef07ac47c77
1.3.6.1.4.1.32898.1.4,PV1-2,8fa3069517639d52d47b9235688c3a7d
1.3.6.1.4.1.32898.1.4,PV1-36,4bff1c8aea5ae014f2db29d359e12890
1.3.6.1.4.1.32898.1.4,PV1-4,ddccc34663522bf153af2fe889029757
1.3.6.1.4.1.32898.1.4.2.10,DG1-6,40b4547dda6b5dd83a671573b5865dea
1.3.6.1.4.1.32898.1.4.2.10,IN1,c58a44c8be8ee4a1e1b320ff572fd391
1.3.6.1.4.1.32898.1.4.2.10,IN1-17,3c598df962ebadd11be6a45d6a9b63cd
1.3.6.1.4.1.32898.1.4.2.10,PID-10,f5d306771ee5327321a1e580ab27ce39
1.3.6.1.4.1.32898.1.4.2.10,PID-22,cfe1bbe51cd4e94ecd8a4d29406312d1
1.3.6.1.4.1.32898.1.4.2.10,PID-30,f0273320c4bbfe33f73f3b3d306e2bf0
1.3.6.1.4.1.32898.1.4.2.10,PID-8,7a3f3afe3a8b2bcffe524712ebb912e9
1.3.6.1.4.1.32898.1.4.2.10,PV1-10,7b52c698f9b33708fb667fc714d2285a
1.3.6.1.4.1.32898.1.4.2.10,PV1-14,fa6d312796d362859bf9270cfe7804a8
1.3.6.1.4.1.32898.1.4.2.10,PV1-18,f70f20e384f2e213c22e2ef07ac47c77
1.3.6.1.4.1.32898.1.4.2.10,PV1-2,8fa3069517639d52d47b9235688c3a7d
1.3.6.1.4.1.32898.1.4.2.10,PV1-36,4bff1c8aea5ae014f2db29d359e12890
1.3.6.1.4.1.32898.1.4.2.10,PV1-4,ddccc34663522bf153af2fe889029757
1.3.6.1.4.1.32898.1.4.2.100,DG1-6,40b4547dda6b5dd83a671573b5865dea
1.3.6.1.4.1.32898.1.4.2.100,IN1,c58a44c8be8ee4a1e1b320ff572fd391
